grid_id,camera_count
G0000,0
G0001,0
G0002,0
G0003,0
G0004,0
G0005,0
G0006,0
G0007,0
G0008,0
G0009,0
G0010,0
G0011,0
G0012,0
G0013,0
G0014,0
G0015,0
G0016,0
G0017,0
G0018,0
G0019,0
G0020,0
G0021,0
G0022,0
G0023,0
G0024,0
G0025,0
G0026,0
G0027,0
G0028,0
G0029,0
G0030,4
G0031,0
G0032,5
G0033,0
G0034,0
G0035,1
G0036,2
G0037,19
G0038,8
G0039,3
G0040,0
G0041,0
G0042,1
G0043,2
G0044,56
G0045,52
G0046,1
G0047,0
G0048,1
G0049,0
G0050,0
G0051,1
G0052,12
G0053,3
G0054,0
G0055,1
G0056,0
G0057,2
G0058,1
G0059,3
G0060,2
G0061,0
G0062,0
G0063,0
G0064,1
G0065,3
G0066,4
G0067,9
G0068,0
G0069,0
G0070,0
G0071,0
G0072,2
G0073,0
G0074,1
G0075,0
G0076,0
