grid_id,crossing_count
G0000,0
G0001,0
G0002,0
G0003,0
G0004,0
G0005,0
G0006,0
G0007,0
G0008,0
G0009,0
G0010,0
G0011,0
G0012,0
G0013,0
G0014,0
G0015,0
G0016,0
G0017,1
G0018,0
G0019,0
G0020,0
G0021,1
G0022,0
G0023,0
G0024,1
G0025,0
G0026,0
G0027,0
G0028,0
G0029,0
G0030,1
G0031,2
G0032,1
G0033,0
G0034,0
G0035,2
G0036,3
G0037,1
G0038,1
G0039,0
G0040,5
G0041,0
G0042,0
G0043,2
G0044,2
G0045,0
G0046,3
G0047,2
G0048,0
G0049,0
G0050,1
G0051,1
G0052,0
G0053,2
G0054,2
G0055,0
G0056,0
G0057,0
G0058,1
G0059,1
G0060,2
G0061,0
G0062,0
G0063,0
G0064,3
G0065,1
G0066,0
G0067,0
G0068,0
G0069,0
G0070,0
G0071,3
G0072,1
G0073,0
G0074,0
G0075,0
G0076,0
