grid_id,drain_density
G0000,0
G0001,0
G0002,0
G0003,0
G0004,0
G0005,2
G0006,0
G0007,0
G0008,0
G0009,12
G0010,2
G0011,0
G0012,0
G0013,0
G0014,9
G0015,0
G0016,16
G0017,16
G0018,10
G0019,21
G0020,28
G0021,5
G0022,9
G0023,6
G0024,19
G0025,17
G0026,46
G0027,0
G0028,4
G0029,11
G0030,1
G0031,9
G0032,5
G0033,24
G0034,25
G0035,2
G0036,17
G0037,24
G0038,27
G0039,20
G0040,69
G0041,25
G0042,77
G0043,0
G0044,31
G0045,36
G0046,5
G0047,35
G0048,50
G0049,19
G0050,16
G0051,6
G0052,42
G0053,13
G0054,23
G0055,98
G0056,0
G0057,31
G0058,40
G0059,51
G0060,5
G0061,26
G0062,0
G0063,0
G0064,2
G0065,42
G0066,5
G0067,58
G0068,3
G0069,0
G0070,0
G0071,9
G0072,6
G0073,0
G0074,51
G0075,0
G0076,0
