admin_name,camera_count
Richmond Ward,5
Woodhouse Ward,12
Hillsborough Ward,7
Beauchief & Greenhill Ward,2
Manor Castle Ward,6
Stocksbridge & Upper Don Ward,0
Mosborough Ward,0
Darnall Ward,21
Beighton Ward,0
Dore & Totley Ward,0
Southey Ward,1
Graves Park Ward,2
Burngreave Ward,12
Stannington Ward,0
Birley Ward,1
West Ecclesfield Ward,0
East Ecclesfield Ward,2
Shiregreen & Brightside Ward,0
Nether Edge & Sharrow Ward,22
Broomhill & Sharrow Vale Ward,22
Crookes & Crosspool Ward,0
Firth Park Ward,1
Walkley Ward,1
Ecclesall Ward,1
Fulwood Ward,0
Park & Arbourthorne Ward,1
Gleadless Valley Ward,0
City Ward,93
