admin_name,crossing_count
Richmond Ward,4
Woodhouse Ward,3
Hillsborough Ward,1
Beauchief & Greenhill Ward,1
Manor Castle Ward,3
Stocksbridge & Upper Don Ward,4
Mosborough Ward,0
Darnall Ward,1
Beighton Ward,0
Dore & Totley Ward,1
Southey Ward,4
Graves Park Ward,1
Burngreave Ward,3
Stannington Ward,2
Birley Ward,2
West Ecclesfield Ward,2
East Ecclesfield Ward,2
Shiregreen & Brightside Ward,3
Nether Edge & Sharrow Ward,4
Broomhill & Sharrow Vale Ward,1
Crookes & Crosspool Ward,1
Firth Park Ward,4
Walkley Ward,2
Ecclesall Ward,0
Fulwood Ward,1
Park & Arbourthorne Ward,0
Gleadless Valley Ward,4
City Ward,0
