admin_name,flood_risk
Beauchief & Greenhill Ward,1
Beighton Ward,0
Birley Ward,0
Broomhill & Sharrow Vale Ward,1
Burngreave Ward,1
City Ward,1
Crookes & Crosspool Ward,1
Darnall Ward,1
Dore & Totley Ward,1
East Ecclesfield Ward,1
Ecclesall Ward,1
Firth Park Ward,1
Fulwood Ward,1
Gleadless Valley Ward,1
Graves Park Ward,1
Hillsborough Ward,1
Manor Castle Ward,1
Mosborough Ward,0
Nether Edge & Sharrow Ward,1
Park & Arbourthorne Ward,1
Richmond Ward,0
Shiregreen & Brightside Ward,1
Southey Ward,1
Stannington Ward,1
Stocksbridge & Upper Don Ward,1
Walkley Ward,1
West Ecclesfield Ward,1
Woodhouse Ward,0
