admin_name,grit_bin_count
Richmond Ward,59
Woodhouse Ward,55
Hillsborough Ward,76
Beauchief & Greenhill Ward,54
Manor Castle Ward,59
Stocksbridge & Upper Don Ward,210
Mosborough Ward,63
Darnall Ward,38
Beighton Ward,69
Dore & Totley Ward,138
Southey Ward,56
Graves Park Ward,94
Burngreave Ward,100
Stannington Ward,157
Birley Ward,59
West Ecclesfield Ward,104
East Ecclesfield Ward,75
Shiregreen & Brightside Ward,68
Nether Edge & Sharrow Ward,42
Broomhill & Sharrow Vale Ward,72
Crookes & Crosspool Ward,101
Firth Park Ward,40
Walkley Ward,126
Ecclesall Ward,123
Fulwood Ward,105
Park & Arbourthorne Ward,80
Gleadless Valley Ward,106
City Ward,61
