admin_name,tree_count
Richmond Ward,28
Woodhouse Ward,32
Hillsborough Ward,44
Beauchief & Greenhill Ward,11
Manor Castle Ward,5
Stocksbridge & Upper Don Ward,19
Mosborough Ward,76
Darnall Ward,7
Beighton Ward,56
Dore & Totley Ward,207
Southey Ward,0
Graves Park Ward,38
Burngreave Ward,0
Stannington Ward,65
Birley Ward,6
West Ecclesfield Ward,155
East Ecclesfield Ward,45
Shiregreen & Brightside Ward,0
Nether Edge & Sharrow Ward,113
Broomhill & Sharrow Vale Ward,36
Crookes & Crosspool Ward,22
Firth Park Ward,0
Walkley Ward,12
Ecclesall Ward,111
Fulwood Ward,143
Park & Arbourthorne Ward,33
Gleadless Valley Ward,8
City Ward,4
