X,Y,objectid,location,notes,cam_number
435725.23,386889.630000001,119,Sheaf Street / Howard Street,ITS Traffic Camera,1
435844.58,386540.720000001,120,Granville Square Roundabout,ITS Traffic Camera,2
435147.13,386348.82,121,Bramall Lane Rbt / St Marys / Bramall Lane,ITS Traffic Camera,3
434767.4,386470.880000001,122,Moore Street Rbt / St Marys Gate / Moore Street,ITS Traffic Camera,4
434404.77,387365.92,123,Brookhill Rbt / Broad Lane / Upper Hanover Street,ITS Traffic Camera,5
435303.66,387738.65,124,West Bar Roundabout / West Bar Green,ITS Traffic Camera,6
435744.95,387815.84,125,Nursery Street / Blonk Street / Wicker,ITS Traffic Camera,7
436025.15,387453.98,126,Park Square South / Broad Street / Duke Street,ITS Traffic Camera,8
435979.8,387510.41,127,Park Square North / Commercial St / Exchange Pl,ITS Traffic Camera,9
434874.12,388098.029999999,128,Penistone Road / Hoyle Street / Shalesmoor,ITS Traffic Camera,10
438103.14,385041.23,129,Manor Top / City Road / Prince of Wales Road,ITS Traffic Camera,11
438310.4,383343.5,130,Gleadless Town End / White Lane / Norton Avenue,ITS Traffic Camera,12
436492.3,387698.710000001,131,Bernard Road / Parkway / Cutlers Gate,ITS Traffic Camera,13
440257.68,386952.880000001,132,Handsworth Road / Parkway,ITS Traffic Camera,14
433598.61,389869.859999999,133,Owlerton Green / Penistone Road,ITS Traffic Camera,15
433018.43,390661.17,134,Middlewood Road / Catchbar Lane,ITS Traffic Camera,16
436724.49,388340.4,135,Attercliffe Road / Sutherland Street,ITS Traffic Camera,17
436633.85,388392.17,136,Savile Street / Sutherland Street,ITS Traffic Camera,18
438111.07,389947.17,137,Brightside Lane / Hawke Street Gyratory,ITS Traffic Camera,19
438598.16,389661.9,138,"Arena Square, Attercliffe Common / Broughton Lane",ITS Traffic Camera,20
438811.59,390626.539999999,139,Meadowhall Way / Orange Car Parks 3 & 4,ITS Traffic Camera,21
439260.13,390583.199999999,140,Meadowhall Way / Leisure Centre,ITS Traffic Camera,22
439575.57,390630.02,141,Sheffield Road Rbt / Sheffield Road / Vulcan Road,ITS Traffic Camera,23
439603.08,390965.84,142,Meadowhall Way / Yellow Lower Car Park,ITS Traffic Camera,24
439230.74,391301.74,143,Meadowhall Road / Alsing Road,ITS Traffic Camera,25
439362.54,387767.26,144,"Prince of Wales Road / Handsworth Road, Darnall",ITS Traffic Camera,29
435165.18,381213.91,145,Meadowhead Roundabout,ITS Traffic Camera,30
434058.42,387230.869999999,146,Western Bank / Clarkson Street,ITS Traffic Camera,32
433906.76,386867.189999999,147,Glossop Road / Clarkhouse Road,ITS Traffic Camera,33
433091.7,386747.0,148,Manchester Road / Fulwood Road,ITS Traffic Camera,34
434294.12,384122.689999999,149,Abbeydale Road / Woodseat Road,ITS Traffic Camera,37
433242.47,385739.32,150,Hunters Bar Roundabout,ITS Traffic Camera,39
432841.02,384948.960000001,151,Ecclesall Road / Psalter Lane,ITS Traffic Camera,40
439205,388876,152,Shepcote Lane / Europa Link,ITS Traffic Camera,41
434426.56,386335.33,153,Ecclesall Road / Summerfield Street,ITS Traffic Camera,42
435537.08,389216.15,154,Rutland Road / Pitsmoor Road,ITS Traffic Camera,44
432875.49,389434.130000001,155,"Ball Road / Holme Lane, Malin Bridge",ITS Traffic Camera,45
435665.65,389452.189999999,156,Burngreave Road / Pitsmoor Road,ITS Traffic Camera,46
436517.01,390188.52,157,Barnsley Road / Firth Park Road,ITS Traffic Camera,47
434561.79,384728.35,158,Abbeydale Road / Broadfield Road,ITS Traffic Camera,48
438835.77,386382.699999999,159,Prince of Wales Road / Castlebeck Road,ITS Traffic Camera,49
433551.09,387093.359999999,160,Whitham Road / Moor Oaks Road,ITS Traffic Camera,50
434091.58,388996.359999999,161,Penistone Road / Old Penistone Road,ITS Traffic Camera,51
436024.37,389747.59,162,Barnsley Road / Norwood Road,ITS Traffic Camera,52
436112.06,394001.699999999,163,Ecclesfield Common / Green Lane,ITS Traffic Camera,53
