X,Y,sitename,featurelocation,objectid
432062.5031,390250.271199999,BEN LANE,Adj Wisewood Community Primary School,1
434557.4999,382446.325099999,GREENHILL ROAD,opp 44 - top of cul de sac,3
433811.0332,393937.9356,CINDER HILL LANE,o/s 68,4
431265.3871,383130.4592,BROAD ELMS LANE,Approx 50m east of Whirlow Hall,5
433754.8761,388371.279100001,FULTON ROAD,Jct Daniel Hill Street,6
435262.5185,397017.0243,NEWTON GARDENS,on junction,7
435116.012,383193.6612,CHANTREY ROAD,o/s 62,8
435736.7909,396859.009500001,COPPICE RISE,Opp no 14,9
442513.1263,385250.622400001,BADGER PLACE,opp 2,10
436939.9515,383382.6471,GAUNT WAY,Opp no 7,11
429538.4014,393640.740700001,LUMB LANE,between junction Acre Lane & Horse Croft Lane,12
433891.2989,393466.760500001,HILL TOP RISE,end of cul-de-sac,14
432761.0165,389014.215,WELBECK ROAD,o/s 71,15
433864.1562,390925.097999999,OXSPRING BANK,outside 35 to 41,16
434585.8629,383692.908199999,SMITHY WOOD CRESCENT,o/s 39,17
434750.4838,397025.591800001,WORRALL ROAD,Near 81. jct Greenwood Road,18
435513.4982,389321.2072,PINFOLD LANE,o/s Flat 54,19
441846.5131,383220.543500001,BEIGHTON ROAD,on grass verge at junction with Brook Lane,20
426470.9995,398590.2039,PATERSON GARDENS,between 4-6,21
436537.6667,387320.369899999,MANOR OAKS GARDENS,near flats on hill,22
435477.0303,389361.8355,STRUTT ROAD,o/s 31,23
433286.1774,384502.2466,BANNERDALE ROAD,o/s 230,24
435171.559,396526.3247,QUEEN STREET,By footpath link to Greenhead Lane.,25
433413.778,387104.0118,MOOR OAKS ROAD,o/s 18,26
430974.8229,386371.5415,CARSICK HILL CRESCENT,Jct Carsick Hill Way/Crescent,27
436958.9564,390672.180400001,ADDISON ROAD,Going on Firth Park Road junction with Addison Road - o/s pedestrian crossing,29
436908.3234,390806.062100001,VIVIAN ROAD,Opp 31,30
433559.4929,393492.2732,GRENOSIDE MOUNT,Side of no 1,31
434175.3165,385423.7228,RUNDLE ROAD,opposite 14 at junction Kenbourne Road,32
430747.0036,386397.604,MEADOW HOUSE DRIVE,o/s 12,33
432712.3624,380548.658299999,TWENTYWELL ROAD,Jct Twentywell View,34
432485.2522,388265.5493,TINKER LANE,jct Bentley Road,35
433083.959,388420.8949,GREENHOW STREET,O/S No 142,36
435676.9565,393817.4801,SYCAMORE ROAD,located at the front of number 22 - from enquiry 1537661,37
430373.2633,380999.8791,MIDDLEFIELD CROFT,Jct Middlefield Close,38
434813.476,395783.2874,ACACIA AVENUE,side of 16 Acacia Avenue,39
437438.9426,386777.885199999,SOUTHEND PLACE,Southend  Road near the school,40
435058.0493,387766.6022,SNOW LANE,just below jct Scotland Street,42
433196.0671,388637.093,ORCHARD ROAD,Jct Highton Street,43
439906.409,382979.522399999,THORNBRIDGE AVENUE,(PRIVATE) entrance to community college,44
434793.0035,388846.303099999,DOUGLAS ROAD,nr bridge,45
439467.8295,385808.752599999,CAR VALE DRIVE,junction with Wainwright Crescent,46
432973.6401,387836.382200001,SPRINGVALE ROAD,o/s no 445,47
437201.9713,387262.806399999,MALTRAVERS CRESCENT,Opposite 116,48
435147.8462,396979.754899999,BRIDLE CRESCENT,outside 20,49
434439.1502,381472.663799999,GLEN VIEW ROAD,o/s 39 - jct Meadowhead Avenue,50
438540.1282,384541.6853,PENTHORPE CLOSE,opp 39 (bin 1 of 2),52
429857.6831,393867.7257,HORSE CROFT LANE,on bend pass number 10,53
