objectid,link_ref,us_node,ds_node,type,length,pipe_shp,width,height,material,us_invert,us_depth,ds_invert,ds_depth,critical,us_east,us_north,ds_east,ds_north,comments,link_id,unique_id,st_lengthshape
1,SK34866713.1,SK34866713,SK34866712,HD,7,CIRC,150,0,VC,0,0,0,0,C,434612,386793,434612,386786, ,2622,SCC/HD/Link/00001,6.99799999967217
2,SK34866816.1,SK34866816,SK34866713,HD,20,CIRC,150,0,VC,0,0,0,0,C,434613,386813,434612,386793, ,2621,SCC/HD/Link/00002,20.0191767511839
3,SK34866814.1,SK34866814,SK34866815,HD,26,CIRC,150,0,VC,0,0,0,0,C,434661,386835,434635,386835, ,2619,SCC/HD/Link/00003,25.9967000000179
4,SK34866815.1,SK34866815,SK34866816,HD,31,CIRC,150,0,VC,0,0,0,0,C,434635,386835,434613,386813, ,2620,SCC/HD/Link/00004,31.1195573500268
5,SK34874405.1,SK34874405,SK34874402,HD,42,CIRC,150,0, ,99.56900024,1.47000003,96.6780014,1.43499994,C,434430,387430,434430,387472, ,2732,SCC/HD/Link/00005,41.9979999996722
6,SK34874407.1,SK34874407,SK34874403,HD,60,CIRC,150,0,VC,99.76000214,1.51999998,0,0,C,434432,387421,434486,387447, ,2716,SCC/HD/Link/00006,59.9315877964043
7,SK34873408.1,SK34873408,SK34874505,HD,86,CIRC,150,0,VC,99.98000336,1.37,94.98899841,1.20000005,C,434396,387430,434403,387516, ,2715,SCC/HD/Link/00007,86.289795626042
8,SK34874404.1,SK34874404,SK34874506,HD,85,CIRC,225,0,VC,101.20500183,2.38499999,92.22000122,4.76999998,C,434413,387432,434419,387517, ,2731,SCC/HD/Link/00008,85.2173564374239
9,SK34874402.1,SK34874402,SK34874509,HD,37,CIRC,150,0,VC,96.67199707,1.44000006,94.16899872,1.34000003,C,434430,387472,434433,387509, ,2729,SCC/HD/Link/00009,37.1209213482387
10,SK34874506.1,SK34874506,SK34874510,HD,13,CIRC,305,0,VC,92.22000122,4.76999998,0,0,B,434419,387517,434432,387517, ,3080,SCC/HD/Link/00010,13.0025000004098
11,SK34874508.1,SK34874508,SK34874510,HD,9,UNKN,305,0, ,77.27899933,4.48000002,0,0,B,434427,387510,434432,387517, ,3082,SCC/HD/Link/00011,8.61162510996353
12,SK34874505.1,SK34874505,SK34874511,HD,54,CIRC,152,0,VC,94.98899841,1.20000005,90.77899933,1.80999994,C,434403,387516,434422,387567, ,3078,SCC/HD/Link/00012,54.4187617716925
13,SK34874507.1,SK34874507,SK34874512,HD,59,UNKN,229,0, ,94.73000336,1.84000003,90,1.87,C,434420,387522,434443,387576, ,3081,SCC/HD/Link/00013,58.6905123844901
14,SK34874509.1,SK34874509,SK34874516,HD,9,CIRC,152,0,VC,94.16899872,1.34000003,0,0,C,434433,387509,434437,387517, ,3083,SCC/HD/Link/00014,8.95066815938226
15,SK34874510.1,SK34874510,SK34874516,HD,5,UNKN,0,0, ,0,0,0,0,C,434432,387517,434437,387517, ,3084,SCC/HD/Link/00015,4.99650000035763
16,SK34874505.2,SK34874505,SK34874517,HD,3,CIRC,152,0,VC,94.98899841,1.20000005,0,0,C,434403,387516,434402,387519, ,3079,SCC/HD/Link/00016,3.16329505712707
17,SK34874606.1,SK34874606,SK34874601,HD,8,UNKN,300,0, ,82.26899719,4.6500001,82.20899963,4.82000017,B,434479,387624,434472,387627, ,3097,SCC/HD/Link/00017,7.615418623293
