objectid,node_ref,map_east,map_north,location,type,catch_ref,gd_lev,mh_lvl_1,comments,node_id,depth_inv,unique_id,shape
1,SK34866814,434661,386835,OFF HEADFORD ST,MH,3075061700,0,0,CBG NO C.L.-I.L.=80.55,2379,0,SCC/HD/Node/00001,
2,SK34866815,434635,386835,OFF BROOMHALL ST,MH,3075061700,0,0,CBG NO C.L.-I.L.=80.368,2380,0,SCC/HD/Node/00002,
3,SK34866816,434613,386813,OFF BROOMHALL ST,MH,3075061700,0,0,CBG NO C.L.-I.L.=80.14,2381,0,SCC/HD/Node/00003,
4,SK34866713,434612,386793,OFF BROOMHALL ST,MH,3075061700,0,0,CBG +INTERCEPTOR TRAP.NO CL.IL=79.982,2382,0,SCC/HD/Node/00004,
5,SK34873408,434396,387430,NETHERTHORPE ROAD,MH,3075061200,101.34999847,101.34899902,CBD,2465,0,SCC/HD/Node/00005,
6,SK34874407,434432,387421,OFF NETHERTHORPE ROAD,MH,3075061200,101.27999878,101.27899933,CBD POSSIBLY DRAINS SUBWAY,2466,0,SCC/HD/Node/00006,
7,SK34874402,434430,387472,NETHERTHORPE ROAD,MH,3075061200,98.11000061,98.11199951,CBD,2478,0,SCC/HD/Node/00007,
8,SK34874404,434413,387432,NETHERTHORPE ROAD,MH,3075061200,103.58999634,103.58899689,CBD,2480,0,SCC/HD/Node/00008,
9,SK34874405,434430,387430,OFF NETHERTHORPE ROAD,MH,3075061200,101.04000092,101.04000092,CBD,2481,0,SCC/HD/Node/00009,
10,SK34874505,434403,387516,NETHERTHORPE RD,MH,3075061200,96.19000244,96.19000244,CBD IMC,2790,0,SCC/HD/Node/00010,
11,SK34874506,434419,387517,NETHERTHORPE RD              2,MH,3075061200,96.98999786,96.98899841,CBD IMC,2791,0,SCC/HD/Node/00011,
12,SK34874507,434420,387522,NETHERTHORPE RD              2,MH,3075061200,96.56999969,96.56900024,CBD HOR IMC,2792,0,SCC/HD/Node/00012,
13,SK34874508,434427,387510,NETHERTHORPE RD              2,MH,3075061200,81.76000214,81.76000214,CBD IMC HOR,2793,0,SCC/HD/Node/00013,
14,SK34874509,434433,387509,NETHERTHORPE RD              2,MH,3075061200,95.51000214,95.51000214,CBD IMC,2794,0,SCC/HD/Node/00014,
15,SK34874510,434432,387517,NETHERTHORPE RD,MH,3075061200,0,0,CBD,2795,0,SCC/HD/Node/00015,
16,SK34874511,434422,387567,NETHERTHORPE RD              1,MH,3075061200,92.58999634,92.58899689,CBD IMC,2796,0,SCC/HD/Node/00016,
17,SK34874512,434443,387576,NETHERTHORPE RD              2,MH,3075061200,91.87000275,91.87000275,CBD IMC,2797,0,SCC/HD/Node/00017,
18,SK34874606,434479,387624,NETHERTHORPE RD              2,MH,3075061200,86.91999817,86.91899872,CBD IMC,2807,0,SCC/HD/Node/00018,
19,SK34874610,434441,387607,NETHERTHORPE RD              1,MH,3075061200,88.30000305,88.30000305,CBD IMC,2811,0,SCC/HD/Node/00019,
20,SK35879506,435930,387546,BROAD ST/PARK SQUARE,MH,3075061200,0,0,CBD IMC PIPE B BLOCKED WITH MUCK,4636,0,SCC/HD/Node/00020,
21,SK35829201,435979,382299,BUNTING NOOK,MH,3075061900,219.13999939,219.13900757,CBD IMC,1448,0,SCC/HD/Node/00021,
22,SK35829301,435967,382333,BUNTING NOOK,MH,3075061900,219.1000061,219.1000061,CBD IMC,1449,0,SCC/HD/Node/00022,
23,SK35829302,435949,382383,BUNTING NOOK,MH,3075061900,215.72000122,215.72000122,CBD IMC,1450,0,SCC/HD/Node/00023,
24,SK35829303,435943,382398,BUNTING NOOK,MH,3075061900,214.5,214.5,CBD IMC,1451,0,SCC/HD/Node/00024,
25,SK35829401,435934,382441,BUNTING NOOK,MH,3075061900,213.22000122,213.22000122,CBD IMC,1452,0,SCC/HD/Node/00025,
26,SK35829403,435949,382449,OFF BUNTING NOOK,MH,3075061900,0,0,CBD,1454,0,SCC/HD/Node/00026,
27,SK35829404,435953,382471,OFF BUNTING CL,MH,3075061900,0,0,CBD,1455,0,SCC/HD/Node/00027,
28,SK35829405,435966,382490,OFF BUNTING CL,MH,3075061900,0,0,CBD,1456,0,SCC/HD/Node/00028,
29,SK35829501,435994,382524,OFF BUNTING CL,MH,3075061900,0,0,CBD,1916,0,SCC/HD/Node/00029,
30,SK35829001,435908,382037,NORTON LA,MH,3075060500,209.77999878,209.77900696,CBD IMC,2301,0,SCC/HD/Node/00030,
31,SK35829002,435949,382093,NORTON LA,MH,3075060500,212.1000061,212.1000061,CBD IMC,2302,0,SCC/HD/Node/00031,
32,SK36827404,436795,382453,HEMSWORTH RD,MH,3075061900,213.97000122,213.97000122,CBD IMC,2325,0,SCC/HD/Node/00032,
33,SK36827406,436787,382457,HEMSWORTH RD,GHST,3075061900,0,0,CBD,2351,0,SCC/HD/Node/00033,
34,SK36828409,436808,382447,NORTON AVE,GHST,3075061900,0,0,CBD,2353,0,SCC/HD/Node/00034,
35,SK36825501,436545,382561,O/S NO.217 HEMSWORTH ROAD,MH,3075061900,220.11999512,220.1190033,                                      A1,2412,0,SCC/HD/Node/00035,
36,SK36825502,436587,382551,O/S NO.229 HEMSWORTH ROAD,MH,3075061900,219.27999878,219.27900696,UTR                                   A1,2413,0,SCC/HD/Node/00036,
37,SK36827701,436767,382767,CONSTABLE RD (F/O NO 46),MH,3075061900,0,0,UTS - BURIED,2511,0,SCC/HD/Node/00037,
38,SK36820301,436095,382362,MATTHEWS LA,MH,3075061900,222.88999939,222.88900757,CBD IMC HOR,2523,0,SCC/HD/Node/00038,
39,SK36820302,436058,382348,MATTHEWS LA,MH,3075061900,222.19000244,222.19000244,CBD IMC,2524,0,SCC/HD/Node/00039,
40,SK36820303,436025,382306,MATTHEWS LA,MH,3075061900,220.21000671,220.21000671,CBD IMC,2525,0,SCC/HD/Node/00040,
41,SK36820201,436002,382289,MATTHEWS LA,MH,3075061900,219.88999939,219.88900757,CBD IMC,2526,0,SCC/HD/Node/00041,
42,SK36821401,436151,382409,MATTHEWS LA,MH,3075061900,222.63999939,222.63900757,CBD IMC HOR,2527,0,SCC/HD/Node/00042,
