X,Y,objectid,library,number,street,town,postcode,url,delivery,type,open,contact
433165.5805,386889.6239,1,Broomhill, ,Taptonville Road,Sheffield,S10 5BR,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Co-delivered,Volunteer,"<a href=""https://volunteerlibrariesinsheffield.org/"">Opening hours on Volunteer Libraries in Sheffield website</a>","<a href=""https://volunteerlibrariesinsheffield.org/"">Contact details on Volunteer Libraries in Sheffield website</a>"
436106.7637,388481.6208,2,Burngreave,42,Spital Hill,Sheffield,S4 7LG,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Co-delivered,Volunteer,"<a href=""https://volunteerlibrariesinsheffield.org/"">Opening hours on Volunteer Libraries in Sheffield website</a>","<a href=""https://volunteerlibrariesinsheffield.org/"">Contact details on Volunteer Libraries in Sheffield website</a>"
435323.3629,396256.249600001,3,Chapeltown, ,Nether Ley Avenue,Sheffield,S35 1AE,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Council,Hub,"Monday: 10am to 5pm
Tuesday: 10am to 5pmWednesday: 10am to 5pm
Thursday: Closed
Friday: 10am to 5pm
Saturday: 10am to 4pm","<a href=""mailto:chapeltown.library@sheffield.gov.uk"">chapeltown.library@sheffield.gov.uk</a> or  tel: 0114 203 7000"
439299.5219,387921.4386,4,Darnall, ,Britannia Road,Sheffield,S9 5JG,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Council,Hub,"Monday: 10am to 5pm
Tuesday: 10am to 5pm
Wednesday: 10am to 5pm
Thursday: Closed
Friday: 10am to 5pm
Saturday: 10am to 4pm","<a href=""mailto:darnall.library@sheffield.gov.uk"">darnall.library@sheffield.gov.uk</a> or  tel: 0114 203 7429"
435667.6916,393773.650699999,5,Ecclesfield,113,High Street,Sheffield,S35 9UA,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Associate,Volunteer,"<a href=""https://volunteerlibrariesinsheffield.org/"">Opening hours on Volunteer Libraries in Sheffield website</a>","<a href=""https://volunteerlibrariesinsheffield.org/"">Contact details on Volunteer Libraries in Sheffield website</a>"
439970.469,383652.987299999,6,Frecheville,83,Smalldale Road,Sheffield,S12 4YD,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Associate,Volunteer,"<a href=""https://volunteerlibrariesinsheffield.org/"">Opening hours on Volunteer Libraries in Sheffield website</a>","<a href=""https://volunteerlibrariesinsheffield.org/"">Contact details on Volunteer Libraries in Sheffield website</a>"
438528.9811,383092.125499999,7,Gleadless,150A,White Lane,Sheffield,S12 3GH,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Associate,Volunteer,"<a href=""https://volunteerlibrariesinsheffield.org/"">Opening hours on Volunteer Libraries in Sheffield website</a>","<a href=""https://volunteerlibrariesinsheffield.org/"">Contact details on Volunteer Libraries in Sheffield website</a>"
434147.3378,381185.448100001,8,Greenhill,160,Hemper Lane,Sheffield,S8 7FE,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Associate,Volunteer,"<a href=""https://volunteerlibrariesinsheffield.org/"">Opening hours on Volunteer Libraries in Sheffield website</a>","<a href=""https://volunteerlibrariesinsheffield.org/"">Contact details on Volunteer Libraries in Sheffield website</a>"
435044.1293,385681.0572,9,Highfield, ,London Road,Sheffield,S2 4NF,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Council,Hub,"Monday: 10am to 5pm
Tuesday: 10am to 5pm
Wednesday: 10am to 5pm
Thursday: Closed
Friday: 10am to 5pm
Saturday: 10am to 4pm","<a href=""mailto:highfield.library@sheffield.gov.uk"">highfield.library@sheffield.gov.uk</a> or tel: 0114 203 7204"
433164.2213,390122.720799999,10,Hillsborough, ,Middlewood Road,Sheffield,S6 4HD,"<A href=""https://www.sheffield.gov.uk/libraries-archives/our-libraries"">Further Information</a>",Council,Hub,"Monday: 10am to 5pm
Tuesday: 10am to 5pm
Wednesday: 10am to 5pm
Thursday: Closed
Friday: 10am to 5pm
Saturday: 10am to 4pm","<a href=""mailto:hillsborough.library@sheffield.gov.uk"">hillsborough.library@sheffield.gov.uk</a> or tel: 0114 203 9529"
