objectid,site_no,positive_m,designatio,site_name,mastersite,globalid,created_user,created_date,last_edited_user,last_edited_date,st_areashape,st_perimetershape
1,35,n,LWS,Cockshot Hill, ,{14230AC6-A5C9-4E5E-ADA8-D620FA8ABF2B},,,,,19162.955339672,740.535858607342
2,39,y,LWS,Fox Glen Wood, ,{2AA03E0D-90C3-4DDA-8E96-0AD6A7AAA227},,,,,47099.9289517059,2417.06041287174
3,62,y,LWS,Glen Howe Park, ,{E3414EC9-CDF9-4BD5-8E6E-E9C286ACD532},,,,,109888.424188116,4050.71638600267
4,205,n,LWS,Ecclesfield Cemetery, ,{4543B69C-AE2D-4516-9114-2EB0BF36AB39},,,,,23920.2747196502,672.080361797809
5,241,n,LWS,Cinder Hill Brook, ,{DCE68140-3FA3-4365-BE23-6F4C79F8313C},,,,,21081.2610118855,1593.11773838434
6,184,n,LWS,Hunshelf Quarry, ,{E7EB3CA7-548D-4EA5-A70F-4B4C11D4568D},,,,,20499.6159713767,865.965455410653
7,25,n,LWS,Green Lane, ,{F68ABDC7-B967-4FB1-8709-6C757A371A46},,,,,33633.7954418497,918.583336883079
8,27,y,LWS,New Hall Wood & Brook, ,{7A0E397B-4A5C-42EF-88CD-8B0E0BDF9C15},,,,,109802.17700761,3879.25370872438
9,37,n,LWS,"Lower Little Don, Stocksbridge", ,{DC2E3432-DB05-45ED-A6B6-9C7752793AB4},,,,,78898.1620898641,4761.14774801613
10,33,n,LWS,"Knoll Top, Stocksbridge", ,{0FC25E40-3B16-495A-AEB8-DB0DD5CC01A5},,,,,24156.3585372207,899.392859338905
11,58,n,LWS,Underbank Reservoir, ,{A084770E-A5BE-4639-962B-6075B45A2110},,,,,557655.055724852,5395.32719641336
12,65,n,LWS,Foldrings Bush, ,{E5DB9E81-77DF-4A2E-8171-5C0CA4B33DCE},,,,,17245.5240580913,1086.66192170565
13,47,y,LWS,Townend Common, ,{A60BD04F-0B53-462C-AAFE-521ABAE5AA18},,,,,255482.836885932,3263.15631305802
14,31,n,LWS,East Whitwell, ,{6626701C-F4EC-43F1-8537-B9EBF5B91043},,,,,15095.2860928744,560.432731345095
15,29,y,LWS,Steel Valley Walk, ,{4C9F0E99-13F4-461A-8C28-030988AFE69D},,,,,216621.086478302,6084.79168226472
16,234,n,LWS,"Stream, Skew Hill", ,{1A6FD605-2A31-4EAE-872C-E5243FEDD54F},,,,,8205.24065839713,1491.76216677213
17,32,n,LWS,Yew Trees Wood,Ewden Valley,{D60C60AD-FFD5-4E7F-98DC-587A9E8EF0B9},,,,,97414.6667015468,2067.34229585942
18,59,n,LWS,Whitwell Moor, ,{1CBEAF77-2CDC-42AC-87F4-BDBA830444E4},,,,,1362266.96025601,10385.6744432635
19,30,y,LWS,Stone Moor, ,{100FBA73-0DB0-4E26-9309-0EAF5D7E3FCB},,,,,40491.9492198223,1042.70490647632
20,28,y,LWS,Pot House Wood, ,{9348C003-A11B-4018-982B-0F415E83E6B1},,,,,50553.2969401722,1838.17079135942
21,36,n,LWS,Fields at Ewden,Ewden Valley,{2A5A3328-30E4-4A75-BEE4-E3922C33E3CA},,,,,89297.7556513639,2558.30257424665
22,34,n,LWS,Bank at Bolsterstone, ,{9B9711F4-FAA3-4A23-8D29-8446F2D6CBCF},,,,,6601.90657982337,370.420414276818
23,22,n,LWS,Yarncliffe House Farm, ,{5C0DEE2E-6C94-4177-8919-E828D9C9476C},,,,,122055.977743254,3354.81044917264
24,289,n,LWS,New May House Farm, ,{347805AC-7C8C-470A-8AB8-F3D94FC6E57E},,,,,18295.3956304234,565.513016872307
25,109,y,LWS,Forge Dam, ,{BF230EFA-3550-4F0B-9F09-6D379D2ED09B},,,,,126002.601396386,2175.6725693073
26,23,n,LWS,Dore Moor, ,{AC11BD47-97E9-4897-B30C-9585B8DFA26D},,,,,145787.34572877,3105.49594902356
27,107,y,LWS,Porter Clough,Porter Valley,{E56020A7-55C6-45CD-93AC-20B64DA00FB6},,,,,324471.292669596,6250.74689812699
28,106,n,LWS,Mayfield Valley,Porter Valley,{05BA3C35-09B4-4F8E-B29A-A14665403822},,,,,38033.6980195935,4441.90065276653
