objectid,routecode,status_text,globalid
27287,BEI/1,Footpath,{031CE951-FF46-4D3F-9FAA-E9F99799B0A2}
27288,BEI/10,Footpath,{62905AFE-12C8-4BEE-842A-551130B834D8}
27289,BEI/11,Footpath,{59E23680-5837-4FB3-81CC-7A339A5B29CA}
27290,BEI/12,Footpath,{2D2C5970-34F8-4ADE-AD80-F235A083BA17}
27291,BEI/13,Footpath,{0A4938A6-D9A1-4CFC-9CF0-DD7C0B6A18FE}
27292,BEI/14,Footpath,{9204C7B6-E82C-4CE7-A403-56BECE8372FE}
27293,BEI/15,Footpath,{4304F914-1464-4D2C-BA91-26211EB79643}
27294,BEI/16,Footpath,{F1078F44-7822-40CE-AD22-3238A7935B14}
27295,BEI/17A,Footpath,{D14634F0-5236-4AC0-9D79-19D94D7C54AF}
27296,BEI/17B,Footpath,{B80926B5-2426-4380-8F44-04C80D13622C}
27297,BEI/17C,Footpath,{96C2E9FE-9523-42BE-9347-A693F0572856}
27298,BEI/17D,Footpath,{5241BE5D-81CB-4CFF-B6C6-EB522E4E7BB0}
27299,BEI/18A,Footpath,{89C4D70F-01AB-498F-8013-CCFEE11D51FC}
27300,BEI/18B,Footpath,{DC1193BE-7F8B-4B4D-886D-449D09E5BFF9}
27301,BEI/18C,Footpath,{C8C332A2-0DF9-4C17-9ABC-767791E9123F}
27302,BEI/2,Footpath,{338CC37F-81AE-41D7-98B2-6514BAA31256}
27303,BEI/20A,Footpath,{34084645-2CA6-4793-8A67-CFB71CE8FC8F}
27304,BEI/20B,Footpath,{BB5A473F-1A1A-49E3-9D87-2291FC50C423}
27305,BEI/20C,Footpath,{19D8600F-3AA9-48BC-BB9A-87E2E0549498}
27306,BEI/20D,Footpath,{8C4C76EB-DC71-497E-BFFA-7DC36E02C595}
27307,BEI/20E,Footpath,{67AB92DF-59CF-489F-9D8B-9059122BA77F}
27308,BEI/20F,Footpath,{574BA8FE-DA12-466C-A145-0B960B5ED39B}
27309,BEI/20G,Footpath,{F4E7C8C6-A059-4BBE-8715-CCE3BD27F68A}
27310,BEI/21A,Footpath,{A10C6430-2B66-4E95-8FC5-8D3C705B3460}
27311,BEI/21B,Footpath,{4FAABB1A-2825-49F4-98D0-3AACDF689FA2}
27312,BEI/21C,Footpath,{CC05A515-1A15-487C-A060-46394DF66CF2}
27313,BEI/22A,Footpath,{97172BC1-FCFD-4A94-B7DD-078BE153C83A}
27314,BEI/22B,Footpath,{6A39BC38-7A84-422B-BECA-7B099D66878A}
27315,BEI/22C,Footpath,{EFADF737-6380-494C-85D0-241C24371517}
27316,BEI/23A,Footpath,{5E403E18-823F-4329-A03D-B2D41C4256F1}
27317,BEI/23B,Footpath,{EC3192AD-FE0E-4F48-BD4D-CB33FD1C6076}
27318,BEI/23C,Footpath,{4B1D87A0-DAA7-43F0-AC12-1EB872264189}
27319,BEI/24A,Footpath,{A38D33EF-576B-4219-80C3-7916BA563717}
27320,BEI/24B,Footpath,{CC615D90-3888-4B60-91C9-C216A54E1277}
27321,BEI/25A,Footpath,{B04E7A70-3667-40D8-8BDB-D70D194C9CA4}
27322,BEI/25B,Footpath,{0311194C-1E07-44B4-BCF6-D17F3DAA4C6D}
27323,BEI/26,Footpath,{DE1CD20B-6626-4E12-A10B-28BFBDF99103}
27324,BEI/27,Footpath,{E1D5ECAB-3B5B-4E7D-8F9C-B4ADB1EF8797}
27325,BEI/28,Footpath,{CEBD34ED-4D7D-48E5-99CA-95E82DAAE0F4}
27326,BEI/29,Footpath,{DAF9C130-DFF6-4516-B066-560D86184C26}
27327,BEI/30,Bridleway,{302EB844-E1F2-41F5-A505-09D7BD69AFB0}
27328,BEI/31,Footpath,{44A9232E-1473-461F-9857-1351B3E9F7FB}
27329,BEI/32A,Footpath,{082E8503-80C7-4F8E-B41A-E64205B056C8}
27330,BEI/32B,Footpath,{1CFEC56A-C9E4-4A79-BE5D-ECA7BEEA29FB}
27331,BEI/33A,Footpath,{83E5886F-1BA6-4C91-971D-4CE745CBF7FB}
27332,BEI/33B,Footpath,{8A5C1DA5-AFFB-4940-8147-69EE1852297B}
