X,Y,objectid,school,location,fromtimeam,totimeam,fromtimepm,totimepm,easting,northing
434371.77,382581.310000001,1,ABBEY LANE PRIMARY,SCHOOL GATE / ABBEY LN / ZEBRA,08:25:00,08:50:00,15:05:00,15:25:00,434367.262,382577.983
435486.087,385166.3002,4,ANNS GROVE PRIMARY,SPENCER RD / ANNS RD / PELICAN,08:30:00,09:00:00,15:10:00,15:10:00,435499.281,385159.435
440208.2078,386264.309,8,ATHELSTAN PRIMARY,RICHMOND PARK ROAD/RICHMOND PARK CLOSE,08:10:00,08:45:00,14:55:00,15:30:00,440211.996,386259.193
436710.409,384336.933,11,BANKWOOD PRIMARY,BANKWOOD ROAD/BLACKSTOCK ROAD,08:15:00,08:55:00,15:10:00,15:35:00,436710.409,384336.933
439842,383365,15,BIRLEY PRIMARY,THORNBRIDGE DR / THORNBRIDGE AVE,08:20:00,08:50:00,15:05:00,15:40:00,439842,383365
440812.5649,383441.524800001,16,BIRLEY SPA PRIMARY,BIRLEY SPA LANE/JERMYN CRESCENT,08:30:00,09:00:00,15:00:00,15:30:00,440810.331,383441.691
442359.34,384749.82,18,BRUNSWICK PRIMARY,BEIGHTON RD / BALMORAL RD,08:30:00,08:55:00,15:30:00,15:50:00,442367,384740
442552.3512,384998.7774,19,BRUNSWICK PRIMARY,STATION RD / CAR PARK,08:30:00,09:05:00,15:20:00,15:50:00,442540.981,384987.83
435162,390634,20,WATERCLIFFE  MEADOW PRIMARY,SHIRECLIFFE ROAD / BOYNTON ROAD,08:30:00,09:05:00,15:00:00,15:25:00,435162,390634
435766.9416,384479.1414,23,CARFIELD PRIMARY,ALBERT RD / NORTHCOTE RD/MEERSBROOK ROAD,08:20:00,08:55:00,15:10:00,15:45:00,435749.7,384495
433970.5186,384137.8916,24,CARTERKNOWLE J,CARTERKNOWLE ROAD/SCHOOL GATES,08:20:00,08:50:00,15:25:00,15:45:00,433964,384132
435636.4606,393780.757099999,36,ECCLESFIELD PRIMARY,HIGH STREET/SYCAMORE ROAD,08:20:00,08:50:00,14:50:00,15:15:00,435632,393779
