objectid,floodzone,keyval,st_areashape,st_perimetershape
1,Floodzone 3b - Functional floodplain,3,7027.44680521772,1828.58425691088
2,Floodzone 3b - Functional floodplain,7,1368.24742632153,1022.60479417246
3,Floodzone 3a(i) - Developed floodplain,103,5311.15945280486,384.788514287624
4,Floodzone 3b - Functional floodplain,4,14336.3788251721,708.178530713241
5,Floodzone 3b - Functional floodplain,5,32014.3989024235,744.37767165565
6,Floodzone 3b - Functional floodplain,6,41245.8180027063,1777.60712600676
7,Floodzone 3b - Functional floodplain,21,74177.775567175,11379.8658487561
8,Floodzone 3a(i) - Developed floodplain,195,2.38020676371894,9.28652424557525
9,Floodzone 3b - Functional floodplain,9,0.910624695580785,6.65507256007642
10,Floodzone 3b - Functional floodplain,10,60.7865457663703,37.1823343178135
11,Floodzone 3b - Functional floodplain,11,11.6156225261912,20.2022255070181
12,Floodzone 3b - Functional floodplain,12,0.335838248912042,4.70736321311725
13,Floodzone 3b - Functional floodplain,13,49.2153883990521,51.4055662034459
14,Floodzone 3b - Functional floodplain,14,0.34225618071568,2.70492390413805
15,Floodzone 3b - Functional floodplain,15,6.71202870546741,16.5775969294256
16,Floodzone 3b - Functional floodplain,16,0.0751983148045125,1.48265800837198
17,Floodzone 3b - Functional floodplain,17,0.00795845503036685,0.414872346322727
18,Floodzone 3b - Functional floodplain,18,40.5887099910284,28.1693531032019
19,Floodzone 3b - Functional floodplain,19,2626.1778087114,875.310830412779
20,Floodzone 3b - Functional floodplain,20,30.1811899935586,21.8434517160138
21,Floodzone 3b - Functional floodplain,22,6528.28963117413,1842.96172180522
22,Floodzone 3b - Functional floodplain,25,174.12181870352,71.6602435428557
23,Floodzone 3b - Functional floodplain,27,3240.63536128512,993.779905395044
24,Floodzone 3b - Functional floodplain,29,0.801165255807035,67.7235449495563
25,Floodzone 3b - Functional floodplain,30,1.15234274034633,92.6781450058917
26,Floodzone 3b - Functional floodplain,31,0.788908053145946,65.0904837568659
27,Floodzone 3b - Functional floodplain,32,0.432664706701885,43.6173780488086
28,Floodzone 3b - Functional floodplain,33,0.0501670715894217,3.42367246118969
29,Floodzone 3b - Functional floodplain,34,0.487788643391845,33.6822256487767
30,Floodzone 3b - Functional floodplain,36,4776.37839907385,560.984234818876
31,Floodzone 3a(i) - Developed floodplain,104,270.63634093277,133.649030338497
32,Floodzone 3a(i) - Developed floodplain,105,2.05000740001258,8.58858901846447
33,Floodzone 3a(i) - Developed floodplain,106,40.6078054404732,33.7752758549926
34,Floodzone 3a(i) - Developed floodplain,107,1796.76945720525,230.144692108897
35,Floodzone 3a(i) - Developed floodplain,108,113.875743974067,44.6192405767462
36,Floodzone 3a(i) - Developed floodplain,109,63370.0501616017,5917.39777784823
37,Floodzone 3a(i) - Developed floodplain,110,745.593042757664,276.087678977179
38,Floodzone 3a(i) - Developed floodplain,111,4600.52967856511,920.510591037439
39,Floodzone 3a(i) - Developed floodplain,112,79.2697997273718,84.5841056589358
40,Floodzone 3a(i) - Developed floodplain,113,1807.53616209925,810.403358965865
41,Floodzone 3a(i) - Developed floodplain,114,139.838326439221,67.7867122296528
42,Floodzone 3a(i) - Developed floodplain,115,6779.18561168559,1494.38229526057
43,Floodzone 3a(i) - Developed floodplain,116,28.0537522315557,33.0498876654439
44,Floodzone 3a(i) - Developed floodplain,117,11638.1365218339,1272.03472409401
45,Floodzone 3a(i) - Developed floodplain,118,2142.99887655785,414.096581272949
46,Floodzone 3a(i) - Developed floodplain,119,40.2092477708096,36.3524960339959
47,Floodzone 3a(i) - Developed floodplain,120,301.325014134237,68.769534774369
48,Floodzone 3a(i) - Developed floodplain,121,178.298232630816,87.3215972497672
49,Floodzone 3a(i) - Developed floodplain,122,4198.40944158794,518.876968356176
50,Floodzone 3a(i) - Developed floodplain,123,15930.090734846,5103.71320772121
51,Floodzone 3a(i) - Developed floodplain,124,1.1013030693654,5.07811483835791
52,Floodzone 3a(i) - Developed floodplain,125,459.426991052016,204.051278551204
53,Floodzone 3a(i) - Developed floodplain,126,66.9290419780808,105.960642890043
54,Floodzone 3a(i) - Developed floodplain,127,201.062120595188,72.47888537044
55,Floodzone 3a(i) - Developed floodplain,128,1743.41030075447,335.113239059107
56,Floodzone 3a(i) - Developed floodplain,129,537.566043852998,99.3416595153251
57,Floodzone 3a(i) - Developed floodplain,130,317.331379474646,99.2574439074307
58,Floodzone 3a(i) - Developed floodplain,131,172.398542992937,387.396661093694
59,Floodzone 3a(i) - Developed floodplain,132,11430.7609548932,1619.57912421755
60,Floodzone 3a(i) - Developed floodplain,133,33.3854125701878,29.5155492718172
61,Floodzone 3a(i) - Developed floodplain,134,38.7277052486372,40.8762358604819
