X,Y,objectid,reg_no,part,act,year,section,sdesc,desc_,feat_num,test,keyval,tpo_ref,tree_ref,amended
429279.421,385677.640000001,68906,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6169,1,A38,808/110,,
429375.353,385760.708000001,68907,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6169,1,A39,808/110,,
429384.912,385762.798,68908,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6169,1,A40,808/110,,
433489.811,389724.673,68909,1738,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/56        : T7,6169,1,A41,808/56,T7,
433519.038,389712.904999999,68910,1738,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/56        : T8,6169,1,A42,808/56,T8,
433519.88,389712.377,68911,1738,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/56        : T9,6169,1,A43,808/56,T9,
433521.602,389711.816,68912,1738,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/56        : T10,6170,1,A44,808/56,T10,
436437.068,386583.247,68913,1724,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/61        : T2,6170,1,A45,808/61,T2,
436435.365,386579.381999999,68914,1724,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/61        : T3,6170,1,A46,808/61,T3,
436433.525,386581.774,68915,1724,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/61        : T4,6170,1,A47,808/61,T4,
444271.955,383138.114,68916,1791,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/95        : T2,6170,1,A48,808/95,T2,
444276.004,383142.438999999,68917,1791,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/95        : T1,6170,1,A49,808/95,T1,
444263.58,383122.975,68918,1791,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/95        : G2,6170,1,A50,808/95,G2,
444265.466,383125.16,68919,1791,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/95        : G2,6170,1,A51,808/95,G2,
444262.522,383127.277000001,68920,1791,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/95        : G2,6170,1,A52,808/95,G2,
444258.818,383226.808,68921,1814,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/97        : T1,6170,1,A53,808/97,T1,
444282.888,383263.657,68922,1814,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/97        : T12,6170,1,A54,808/97,T12,
444287.467,383263.812000001,68923,1814,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/97        : T11,6170,1,A55,808/97,T11,
429345.316,385637.956,68924,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A56,808/110,,
429279.463,385745.922,68925,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A57,808/110,,
429280.121,385731.683,68926,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A58,808/110,,
429280.295,385725.037,68927,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A59,808/110,,
429301.077,385726.960000001,68928,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A60,808/110,,
429304.225,385745.673,68929,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A61,808/110,,
429394.806,385764.316,68930,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A62,808/110,,
429431.84,385769.852,68931,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A63,808/110,,
429443.768,385771.890000001,68932,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A64,808/110,,
429458.005,385773.801999999,68933,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A65,808/110,,
429512.705,385778.653000001,68934,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A66,808/110,,
429519.588,385763.873,68935,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A67,808/110,,
429524.587,385752.778000001,68936,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A68,808/110,,
429326.392,385684.027000001,68937,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A69,808/110,,
429329.356,385681.721000001,68938,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A70,808/110,,
429330.674,385677.768999999,68939,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A71,808/110,,
430201.877,385572.218,68940,1905,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/160        : T14,6183,1,A269,808/160,T14,
429341.871,385679.086999999,68941,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A72,808/110,,
429361.96,385682.380000001,68942,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A73,808/110,,
429392.258,385684.685000001,68943,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A74,808/110,,
429442.974,385690.942,68944,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A75,808/110,,
429499.289,385729.802999999,68945,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A76,808/110,,
429321.123,385710.043,68946,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A77,808/110,,
429362.289,385715.971000001,68947,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A78,808/110,,
429385.342,385720.582,68948,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A79,808/110,,
429396.21,385722.887,68949,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A80,808/110,,
429422.226,385724.534,68950,1793,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/110,6170,1,A81,808/110,,
430783.556,389034.215,68951,2015,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/225      : T7,6170,1,A82,808/225,T7,
442593.477,380621.589,68952,1739,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/53        : T2,6170,1,A83,808/53,T2,
442592.777,380626.831,68953,1739,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/53        : T1,6170,1,A84,808/53,T1,
442593.542,380617.322000001,68954,1739,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/53        : T3,6170,1,A85,808/53,T3,
433404.507,389750.172,68955,1738,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/56        : T2,6170,1,A86,808/56,T2,
433414.906,389745.222999999,68956,1738,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/56        : T3,6170,1,A87,808/56,T3,
433410.813,389756.528999999,68957,1738,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/56        : T1,6170,1,A88,808/56,T1,
436428.142,386592.449999999,68958,1724,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/61        : T1,6170,1,A89,808/61,T1,
432492.727,390640.902000001,68959,1869,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/103       : T25,6171,1,A90,808/103,T25,
430207.779,388388.530999999,68960,1766,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/122      : T1,6171,1,A91,808/122,T1,
430221.098,388394.051000001,68961,1766,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/122      : T2,6171,1,A92,808/122,T2,
430223.589,388394.959000001,68962,1766,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/122      : T3,6171,1,A93,808/122,T3,
430241.128,388407.844000001,68963,1766,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/122      : T4,6171,1,A94,808/122,T4,
430243.912,388409.033,68964,1766,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/122      : T5,6171,1,A95,808/122,T5,
430267.138,388416.148,68965,1766,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/122      : T8,6171,1,A96,808/122,T8,
430248.66,388397.473999999,68966,1766,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/122      : T13,6171,1,A97,808/122,T13,
433171.567,393863.634,68967,1804,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/86,6171,1,A98,808/86,,
433164.269,393865.511,68968,1804,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/86,6171,1,A99,808/86,,
433168.022,393868.013,68969,1804,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/86,6171,1,A100,808/86,,
433162.392,393857.795,68970,1804,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/86,6171,1,A101,808/86,,
431980.975,381059.136,68971,7661,3b,Town and,1990,201,Tree Preservation Orde,TPO No.  808/244,6171,1,A102,808/244,,
431976.066,381046.491,68972,7661,3b,Town and,1990,201,Tree Preservation Orde,TPO No.  808/244       : T67,6171,1,A103,808/244,T67,
435200.086,396563.524,68973,1971,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/187        : T4,6171,1,A104,808/187,T4,
433190.28,393864.305,68974,1804,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/86,6171,1,A105,808/86,,
433822.221,385565.332,68975,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T1,6171,1,A106,808/235,T1,
433829.749,385568.613,68976,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235       : T2,6171,1,A107,808/235,T2,
433835.367,385571.412,68977,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T3,6171,1,A108,808/235,T3,
433840.338,385571.499,68978,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T4,6171,1,A109,808/235,T4,
433845.14,385575.789999999,68979,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T5,6171,1,A110,808/235,T5,
433849.549,385574.538000001,68980,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T6,6171,1,A111,808/235,T6,
433853.684,385572.458000001,68981,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T7,6171,1,A112,808/235,T7,
442580.729,380566.604,68982,1739,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/53,6171,1,A113,808/53,,
442580.48,380563.227,68983,1739,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/53,6171,1,A114,808/53,,
442580.716,380602.911,68984,1739,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/53          : T4,6171,1,A115,808/53,T4,
442652.892,380585.963,68985,1739,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/53,6171,1,A116,808/53,,
442733.469,380600.324999999,68986,1739,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/53,6171,1,A117,808/53,,
433488.523,389727.433,68987,1738,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/56          : T5,6171,1,A118,808/56,T5,
433853.56,385568.239,68988,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T8,6172,1,A119,808/235,T8,
433853.133,385560.982000001,68989,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T9,6172,1,A120,808/235,T9,
433852.973,385553.845000001,68990,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T10,6172,1,A121,808/235,T10,
433852.706,385548.994999999,68991,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T11,6172,1,A122,808/235,T11,
433852.546,385545.396,68992,7257,3b,Town and,1990,201,Tree Preservation Orde,TPO No. 808/235        : T12,6172,1,A123,808/235,T12,
443822.984,381240.687000001,68993,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T9,6172,1,A124,808/237,T9,a
443796.312,381254.114,68994,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T10,6172,1,A125,808/237,T10,a
443781.187,381291.711999999,68995,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T11,6172,1,A126,808/237,T11,a
443817.461,381199.507999999,68996,7546,3b,Town and,1990,198 & 201,Tree Preservation Orde,TPO No. 808/237a      : T7,6172,1,A127,808/237,T7,a
432508.87,384993.618000001,68997,1902,3b,Town and,1971,60 & 61,Tree Preservation Orde,TPO No. 808/163,6172,1,A128,808/163,,
